"DateTime","США"
2020-07-17 00:00:00,66653
2020-07-18 00:00:00,64716
2020-07-19 00:00:00,59164
2020-07-20 00:00:00,61121
2020-07-21 00:00:00,67170
2020-07-22 00:00:00,68072
2020-07-23 00:00:00,67969
2020-07-24 00:00:00,75410
2020-07-25 00:00:00,62828
2020-07-26 00:00:00,56708
2020-07-27 00:00:00,60297
2020-07-28 00:00:00,64967
2020-07-29 00:00:00,64740
2020-07-30 00:00:00,67704
2020-07-31 00:00:00,65955
2020-08-01 00:00:00,57725
2020-08-02 00:00:00,47410
2020-08-03 00:00:00,40877
2020-08-04 00:00:00,61762
2020-08-05 00:00:00,54667
2020-08-06 00:00:00,59636
2020-08-07 00:00:00,61220
2020-08-08 00:00:00,63729
2020-08-09 00:00:00,54799
2020-08-10 00:00:00,51912
2020-08-11 00:00:00,56244
2020-08-12 00:00:00,55359
2020-08-13 00:00:00,51335
2020-08-14 00:00:00,70734
2020-08-15 00:00:00,51745
2020-08-16 00:00:00,35318
2020-08-17 00:00:00,37974
2020-08-18 00:00:00,44123
2020-08-19 00:00:00,46494
2020-08-20 00:00:00,44112
2020-08-21 00:00:00,48710
2020-08-22 00:00:00,44615
2020-08-23 00:00:00,32973
2020-08-24 00:00:00,33840
2020-08-25 00:00:00,41783
2020-08-26 00:00:00,42615
2020-08-27 00:00:00,50046
2020-08-28 00:00:00,46922
2020-08-29 00:00:00,43194
2020-08-30 00:00:00,33610
2020-08-31 00:00:00,33865
2020-09-01 00:00:00,41608
2020-09-02 00:00:00,40188
2020-09-03 00:00:00,45227
2020-09-04 00:00:00,48266
2020-09-05 00:00:00,42905
2020-09-06 00:00:00,30189
2020-09-07 00:00:00,24862
2020-09-08 00:00:00,26407
2020-09-09 00:00:00,33264
2020-09-10 00:00:00,39177
2020-09-11 00:00:00,45038
2020-09-12 00:00:00,45312
2020-09-13 00:00:00,40008
2020-09-14 00:00:00,33445
2020-09-15 00:00:00,36215
2020-09-16 00:00:00,38969
2020-09-17 00:00:00,44440
2020-09-18 00:00:00,51171
2020-09-19 00:00:00,44619
2020-09-20 00:00:00,42730
2020-09-21 00:00:00,32302
2020-09-22 00:00:00,37167
2020-09-23 00:00:00,41861
2020-09-24 00:00:00,48421
2020-09-25 00:00:00,47500
2020-09-26 00:00:00,43028
2020-09-27 00:00:00,34613
2020-09-28 00:00:00,37650
2020-09-29 00:00:00,41701
2020-09-30 00:00:00,38817
2020-10-01 00:00:00,46301
2020-10-02 00:00:00,53250
2020-10-03 00:00:00,49154
2020-10-04 00:00:00,33054
2020-10-05 00:00:00,37458
2020-10-06 00:00:00,44239
2020-10-07 00:00:00,49359
2020-10-08 00:00:00,57777
2020-10-09 00:00:00,55284
2020-10-10 00:00:00,55096
2020-10-11 00:00:00,46204
2020-10-12 00:00:00,43805
2020-10-13 00:00:00,49579
2020-10-14 00:00:00,57859
2020-10-15 00:00:00,64240
2020-10-16 00:00:00,69230
2020-10-17 00:00:00,54857
2020-10-18 00:00:00,52220
2020-10-19 00:00:00,68637
2020-10-20 00:00:00,61810
2020-10-21 00:00:00,60735
2020-10-22 00:00:00,78494
2020-10-23 00:00:00,82548
2020-10-24 00:00:00,77461
2020-10-25 00:00:00,61716
2020-10-26 00:00:00,64973
2020-10-27 00:00:00,76764
